Are.you.self.employed.,How.many.employees.does.your.company.or.organization.have.,Is.your.employer.primarily.a.tech.company.organization.,Is.your.primary.role.within.your.company.related.to.tech.IT.,Does.your.employer.provide.mental.health.benefits.as.part.of.healthcare.coverage.,Do.you.know.the.options.for.mental.health.care.available.under.your.employer.provided.coverage.,Has.your.employer.ever.formally.discussed.mental.health..for.example..as.part.of.a.wellness.campaign.or.other.official.communication..,Does.your.employer.offer.resources.to.learn.more.about.mental.health.concerns.and.options.for.seeking.help.,Is.your.anonymity.protected.if.you.choose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.provided.by.your.employer.,If.a.mental.health.issue.prompted.you.to.request.a.medical.leave.from.work..asking.for.that.leave.would.be.,Do.you.think.that.discussing.a.mental.health.disorder.with.your.employer.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.your.employer.would.have.negative.consequences.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.coworkers.,Would.you.feel.comfortable.discussing.a.mental.health.disorder.with.your.direct.supervisor.s..,Do.you.feel.that.your.employer.takes.mental.health.as.seriously.as.physical.health.,Have.you.heard.of.or.observed.negative.consequences.for.co.workers.who.have.been.open.about.mental.health.issues.in.your.workplace.,Do.you.have.medical.coverage..private.insurance.or.state.provided..which.includes.treatment.of..mental.health.issues.,Do.you.know.local.or.online.resources.to.seek.help.for.a.mental.health.disorder.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.clients.or.business.contacts.,If.you.have.revealed.a.mental.health.issue.to.a.client.or.business.contact..do.you.believe.this.has.impacted.you.negatively.,If.you.have.been.diagnosed.or.treated.for.a.mental.health.disorder..do.you.ever.reveal.this.to.coworkers.or.employees.,If.you.have.revealed.a.mental.health.issue.to.a.coworker.or.employee..do.you.believe.this.has.impacted.you.negatively.,Do.you.believe.your.productivity.is.ever.affected.by.a.mental.health.issue.,If.yes..what.percentage.of.your.work.time..time.performing.primary.or.secondary.job.functions..is.affected.by.a.mental.health.issue.,Do.you.have.previous.employers.,Have.your.previous.employers.provided.mental.health.benefits.,Were.you.aware.of.the.options.for.mental.health.care.provided.by.your.previous.employers.,Did.your.previous.employers.ever.formally.discuss.mental.health..as.part.of.a.wellness.campaign.or.other.official.communication..,Did.your.previous.employers.provide.resources.to.learn.more.about.mental.health.issues.and.how.to.seek.help.,Was.your.anonymity.protected.if.you.chose.to.take.advantage.of.mental.health.or.substance.abuse.treatment.resources.with.previous.employers.,Do.you.think.that.discussing.a.mental.health.disorder.with.previous.employers.would.have.negative.consequences.,Do.you.think.that.discussing.a.physical.health.issue.with.previous.employers.would.have.negative.consequences.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.previous.co.workers.,Would.you.have.been.willing.to.discuss.a.mental.health.issue.with.your.direct.supervisor.s..,Did.you.feel.that.your.previous.employers.took.mental.health.as.seriously.as.physical.health.,Did.you.hear.of.or.observe.negative.consequences.for.co.workers.with.mental.health.issues.in.your.previous.workplaces.,Would.you.be.willing.to.bring.up.a.physical.health.issue.with.a.potential.employer.in.an.interview.,Would.you.bring.up.a.mental.health.issue.with.a.potential.employer.in.an.interview.,Do.you.feel.that.being.identified.as.a.person.with.a.mental.health.issue.would.hurt.your.career.,Do.you.think.that.team.members.co.workers.would.view.you.more.negatively.if.they.knew.you.suffered.from.a.mental.health.issue.,How.willing.would.you.be.to.share.with.friends.and.family.that.you.have.a.mental.illness.,Have.you.observed.or.experienced.an.unsupportive.or.badly.handled.response.to.a.mental.health.issue.in.your.current.or.previous.workplace.,Do.you.have.a.family.history.of.mental.illness.,Have.you.had.a.mental.health.disorder.in.the.past.,Do.you.currently.have.a.mental.health.disorder.,Have.you.been.diagnosed.with.a.mental.health.condition.by.a.medical.professional.,Have.you.ever.sought.treatment.for.a.mental.health.issue.from.a.mental.health.professional.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.being.treated.effectively.,If.you.have.a.mental.health.issue..do.you.feel.that.it.interferes.with.your.work.when.NOT.being.treated.effectively.,What.is.your.age.,What.is.your.gender.,What.country.do.you.live.in.,What.US.state.or.territory.do.you.live.in.,What.country.do.you.work.in.,What.US.state.or.territory.do.you.work.in.,Which.of.the.following.best.describes.your.work.position.,Do.you.work.remotely.
No,26-100,No,Yes,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"Yes, they do",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,No,Yes,Rarely,Sometimes,29,male,Netherlands,Does not live in US,Netherlands,Does not work in US,DevOps/SysAdmin|Back-end Developer,Never
No,100-500,Yes,Tech Company,I don't know,N/A,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,Yes,Not applicable to me,Not applicable to me,34,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Back-end Developer|Dev Evangelist/Advocate|Supervisor/Team Lead,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,No,Not Affected or Unsure,Yes,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,No,Not applicable to me,Often,27,male,United States of America,California,United States of America,California,DevOps/SysAdmin|One-person shop,Sometimes
No,100-500,Yes,Tech Company,No,N/A,No,No,Yes,I don't know,Maybe,No,Maybe,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,Maybe/Not sure,No,Maybe,Maybe,No,No,Not applicable to me,Sometimes,39,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Executive Leadership,Sometimes
No,100-500,Yes,Tech Company,I don't know,N/A,I don't know,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,No,No,No,No,Not applicable to me,Not applicable to me,27,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Back-end Developer|DevOps/SysAdmin,Sometimes
No,500-1000,Yes,Tech Company,No,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,Maybe,"No, I don't think they would",Somewhat open,No,No,Yes,No,Yes,Yes,Sometimes,Often,31,male,Czech Republic,Does not live in US,Czech Republic,Does not work in US,Supervisor/Team Lead,Sometimes
No,26-100,No,Yes,No,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,Yes,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,No,Not applicable to me,Not applicable to me,26,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Supervisor/Team Lead|Front-end Developer|Back-end Developer,Never
No,26-100,Yes,Tech Company,Yes,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,Maybe,Yes,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",Yes,Maybe,Maybe,No,Yes,Sometimes,Sometimes,44,male,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer,Always
No,100-500,Yes,Tech Company,Yes,No,I don't know,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,No,Not applicable to me,Not applicable to me,27,male,United States of America,California,United States of America,California,Back-end Developer,Sometimes
No,100-500,No,Yes,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Maybe,Maybe,Very open,No,Yes,Yes,Yes,Yes,Yes,Never,Sometimes,57,female,United States of America,Iowa,United States of America,Iowa,Back-end Developer|Front-end Developer|Designer,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"No, I don't know any","No, because it doesn't matter",No,"Sometimes, if it comes up",No,Yes,1-25%,Yes,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",Some of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,"Yes, I observed",I don't know,No,No,No,No,Not applicable to me,Not applicable to me,34,male,Canada,Does not live in US,United States of America,Illinois,Executive Leadership,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several","No, because it doesn't matter",N/A,"No, because it doesn't matter",Not applicable to me,Yes,1-25%,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Very open,No,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,38,male,United States of America,Ohio,United States of America,Ohio,One-person shop|Back-end Developer|Other,Sometimes
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,I know some,Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,26-50%,Yes,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,I don't know,Yes,Maybe,Yes,Yes,Not applicable to me,Often,55,male,United States of America,Illinois,United States of America,Illinois,One-person shop|Back-end Developer,Always
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,No,I know some,Not applicable to me,I'm not sure,Not applicable to me,Not applicable to me,Yes,51-75%,Yes,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,"Yes, it has","Yes, they do",Neutral,"Yes, I experienced",Yes,Maybe,Maybe,No,Yes,Rarely,Often,28,male,Costa Rica,Does not live in US,Costa Rica,Does not work in US,One-person shop|Back-end Developer,Sometimes
No,More than 1000,No,Yes,I don't know,I am not sure,No,No,No,Neither easy nor difficult,Yes,No,No,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Maybe,"Yes, I think they would",Very open,"Yes, I observed",I don't know,Maybe,Maybe,No,Yes,Often,Sometimes,35,male,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead|DevOps/SysAdmin,Never
No,100-500,Yes,Tech Company,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,Yes,Often,Often,26,male,United States of America,New York,United States of America,New York,Back-end Developer,Always
No,25-Jun,Yes,Tech Company,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,No,Maybe,No,No,Not applicable to me,Not applicable to me,22,female,United States of America,New York,United States of America,New York,Front-end Developer|Back-end Developer,Never
No,100-500,Yes,Tech Company,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would",Maybe,Neutral,No,No,No,No,No,No,Not applicable to me,Not applicable to me,31,male,United States of America,California,United States of America,California,Back-end Developer,Sometimes
No,26-100,Yes,Tech Company,I don't know,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),N/A,No,No,No,No,Yes,Not applicable to me,Not applicable to me,31,male,United Kingdom,Does not live in US,United Kingdom,Does not work in US,Back-end Developer,Never
Yes,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Self-Employed,Yes,"Yes, I know several",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Not applicable to me,Not Affected or Unsure,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,No,No,No,No,Not applicable to me,Not applicable to me,40,male,Germany,Does not live in US,Germany,Does not work in US,Executive Leadership,Sometimes
No,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,Sometimes,Sometimes,26,male,United States of America,New York,United States of America,New York,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes
No,5-Jan,Yes,Tech Company,No,N/A,No,No,No,Very difficult,Yes,No,No,No,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,36,male,United States of America,Georgia,United States of America,Georgia,One-person shop,Sometimes
No,26-100,Yes,Tech Company,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,"No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,33,male,United States of America,Illinois,United States of America,Illinois,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
No,500-1000,Yes,Tech Company,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Maybe,No,"No, I don't think it would","No, they do not",Somewhat not open,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,24,female,United States of America,New York,United States of America,New York,Back-end Developer|Front-end Developer,Sometimes
No,25-Jun,Yes,Tech Company,No,No,No,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"No, none did",N/A (not currently aware),Some did,Some did,I don't know,None of them,Some of them,Some of my previous employers,I don't know,None did,None of them,No,No,"Yes, it has","Yes, they do",Somewhat not open,No,Yes,Maybe,Maybe,No,No,Often,Rarely,22,male,Vietnam,Does not live in US,Vietnam,Does not work in US,Front-end Developer|Back-end Developer,Sometimes
No,25-Jun,Yes,Tech Company,Yes,Yes,No,Yes,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did",I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Maybe,Yes,Yes,Rarely,Rarely,33,male,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead|DevOps/SysAdmin|Support,Always
No,More than 1000,Yes,Tech Company,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,No,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,No Previous Employer,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,Rarely,Sometimes,37,female,United States of America,California,United States of America,California,Support,Sometimes
No,25-Jun,Yes,Tech Company,Yes,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Not Self-Employed,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,Yes,Maybe,No,No,Rarely,Sometimes,29,male,United States of America,Washington,United States of America,Ohio,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always
